Column1,Column2,Column3
,HBEGF,PRAG1
,SMAD1,SLC7A7
,MCM6,ITGB2
,ALDH18A1,PTP4A1
,,EVI2B
,MPP1,SLC16A3
,XRCC2,FYB1
,LRP12,SIPA1L2
,KIF2C,NA
,GGH,ARHGEF40
,DAB2,ANTXR2
,TARS,FAM131B-AS2
,,MS4A7
,KCNK5,DYSF
,RANBP1,LMNA
,PP13439,LAMA5
,GINS1,CCDC88C///LOC105370624
,WDHD1,SAMHD1
,CMBL,PPP1R18
,,CTSS
,PLEKHA5,PLXNB2
,CFD,TUBB6
,TNFRSF21,SERTAD1
,SPARC,CTSS
,MERTK,RIPOR2
,RNU1-122P,HBA1///HBA2
,LOC100131826,CD93
,CLIC2,GBP2
,,PRICKLE1
,ZNF660,S100Z
,LAPTM4B,CISH
,ALAS2,ITPRIPL2
,C10orf11,ADM
,KYNU,LINC01215
,SERPINB10,NCOA3
,COL24A1,EPCAM
,,BLVRA
,CD244,FCER1A
,NUSAP1,DACH1
,MCM10,WEE1
,FAH,CDCA5
,,UNG
,,PPM1H
,,CMBL
,SNORD25,SPAG5
,,ELOVL6
,RAVER2,FUBP1
,UHRF1,CIBAR1
,FAM72B,FAM53A
,CYFIP1,SGO2
,,CDT1
,TARBP1,HNRNPLL
,SNORD3B-1,HEMGN
,HIST1H3I,MCM10
,,AKT3
,CDC45,MYLK
,HIST2H3A,BLVRA
,ATF3,SUV39H2
,,GSTM3
,ANKRD28,TRIP13
,BTK,AKT3
,,NEFH
,NCAPG2,COQ3
,B3GALNT1,MYBL2
,FAM46A,SMIM24
,CXCL2,TMEM121
,EIF5AL1,HOXA9///HOXA10-HOXA9
,MEST,C19orf48P
,PLXND1,MCM2
,,ANXA5
,PSTPIP2,DNTT
,GSN,CNKSR3
,,ZNF788P
,LY75-CD302,CRACD
,MS4A6A,CDC45
,ADA,ATL2
,CPT1A,LSM5
,LDHB,CDC25A
,SLC7A5,LOC105377276
,YES1,ARHGAP32
,KLF4,RRM1
,BRIP1,GDAP1
,SPAG5,WASIR2
,MAP7,SGPP1
,HAVCR2,CIBAR1
,ANXA1,PRR11
,NCAPH,KLHL23///PHOSPHO2-KLHL23
,ORC1,CAVIN1
,FABP5,NMT2
,SPN,ICA1-AS1
,NIPSNAP3A,MLLT3
,,OSBPL1A
,KIAA0125,PDIA5
,RAB32,SLC16A1
,,MCM6
,CKS1B,PANK1
,HOXA6,FNBP1L
,H1F0,OXCT1
,,MTX3
,EGR1,NOG
,,NT5DC2
,TTC7B,MCM4
,PDIA6,CENPV
,GUCY1B3,IGF1R
,,ROBO1
,PLK1,LIG1
,PRELID2,RAD54L
,RRM1,MCM4
,SNORD78,FANCI
,MTHFD1,TIMELESS
,,NASP
,DEPDC1B,KIT
,,REXO5
,CSF1R,NCAPH
,AGPS,LAMC1
,,RFC4
,11-Sep,DSCC1
,,ZC3H12C
,PDLIM1,RAD51
,CCL3,NA
,,STIL
,MAFG,CABLES1
,PTPLA,FEN1
,MYO5C,TRIB2
,,BUB1B
,ARHGAP11B,DACH1
,JAG1,TMEM97
,TFDP2,EFHC2
,HMGB3,THEM4
,,ZNF677
,GINS2,CYTL1
,,DNPH1
,CLIC4,GPAT2
,FOSB,NA
,DMXL2,TPCN1
,UCK2,KCNH2
,TWSG1,RIPOR3
,,WDR76
,,BACE2
,SNCA,NSD2
,,CEP55
,CHD1L,DHFR
,ZC3H12C,RETREG1
,IDH1,SLC39A14
,,GCAT
,,DNAJC12
,,ZNF367
,RNU4-9P,PTTG1
,,TPD52
,PLIN2,CD59
,WT1,PHGDH
,KIF18A,DTD1
,TNS3,NAP1L5
,METTL7A,CDCA7
,CD68,AURKB
,TMEM173,BIRC5
,LOC728715,MKI67
,,MAGED1
,HOXB3,CENPN
,,TMEM106C
,PRR11,WDHD1
,LOC101060256,GPSM2
,HIST2H2BE,XK
,SORT1,TK1
,CASC5,FANCD2
,CCT2,CAND2
,RASGRP3,DIPK1B
,STIL,TRO
,,DHFR
,RPF2,CENPK
,HNRNPA1P8,MPL
,HIST2H2AA4,MCUB
,TEX30,AMT
,CD99,TRIP6
,,SVIP
,,OIP5
,TXN,APP
,FOXM1,IGHM
,KIAA1524,MAD2L1
,KIFC1,NEDD4L
,P2RX1,SPARC
,SPNS3,CENPU
,SLC39A8,EREG
,ATAD2,TMEM97
,IARS,NR4A2
,XPNPEP1,RACGAP1
,GTPBP4,PRC1
,CNTLN,PCLAF
,RAB27B,FKBP11
,DDX1,CTNNAL1
,SNORD75,MLLT3
,MAFG,CCNA2
,,DDX3Y
,CTPS1,ITGA2B
,HSP90AB3P,DPY19L2P2
,HIST1H4I,ABLIM1
,,NAP1L5
,GRB10,RMI2
,MED12L,C1QTNF4
,WDR12,BUB1
,PAICS,ZNF793-AS1
,HIST1H4K,SHCBP1
,SMIM3,PAWR
,MYCN,CRYGD
,HNRNPA1,EIF1AY
,MCM2,ASPM
,RPL22,CENPM
,HIST1H2AB,LAPTM4B
,METAP2,HPDL
,VAMP8,MELK
,PCBD1,NCAPG
,NAGA,DHFR
,BRCA2,FOXM1
,,C1orf21
,NT5DC3,HMGN5
,GSTP1,RPS4Y1
,,ELOVL6
,TCF4,MCM10
,,CDT1
,,PLXNC1
,CENPJ,DTL
,,PKIG
,HOXA7,TFR2
,,FAM30A
,CD63,SCD
,AHR,SDK2
,HSP90AB1,TPX2
,,CBR3
,CREG1,NA
,MMP2,KIF18B
,PSMD14,HELLS
,DNMT3B,DUT
,,MPO
,,ANKH
,,PDZD8
,EEF1A1,ANLN
,GART,ZNF521
,NFIX,NUSAP1
,CST3,FSTL1
,SOCS6,TMEM163
,RAB44,CDC7
,ZEB2,OVOS2///LOC408186///LOC728715
,,TMEM97
,IGFBP7,ALDH7A1
,CCL3L3,UHRF1
,SLC43A3,CCNB1
,CD38,KLF12
,,PRKD3
,FRRS1,FAM72C///FAM72B///FAM72D///FAM72A
,GMNN,GALNT12
,,NR4A2
,POLA1,REC8
,,NA
,,GGH
,FCER1A,F2RL1
,SNORD101,MKI67
,GOLGA8I,KIF2C
,BIVM,GINS3
,TARP,NUF2
,CXorf21,ZNF667-AS1
,RCC1,ARHGAP22
,HIST2H2AB,TMSB15B
,PIEZO2,IGLL1
,ERI2,RRM2
,NYNRIN,CENPH
,PGD,POLE2
,,HELLS
,EZH2,KIF4A
,HOMER3,CPA3
,DRAM1,GTSE1
,SPNS2,PDZD8
,TRIO,CD59
,,SPINK2
,,DACH1
,,FHL2
,TRPC2,CCNB1
,RNA5SP268,NR4A2
,BAALC,GPHN
,SNORD28,CDCA3
,PCCB,GCAT
,OCRL,CD59
,SDC4,KLF1
,,KIF20A
,DOCK7,SPAG16
,OSBPL1A,CHEK1
,DNAJB4,HELLS
,TSPAN3,GINS2
,CDC25A,ITGA2B
,MIR21,DNAJC6
,,DEPDC1B
,SELENBP1,FKBP11
,ALDH1A1,ZNF521
,,LAPTM4B
,FUCA2,PRG2
,DCTPP1,C1orf21
,APEX1,PROM1
,GATA2,CENPF
,,ARMCX1
,EPS8,ZNF667
,MRPL24,ZWINT
,LGALS1,NEK2
,HHEX,MECOM
,NFE2,ZEB1///SIK1///LOC102724428
,GOLGA8M,FAM83D
,IMPDH2,NA
,NMD3,MPO
,CERS6,PRDX2
,ABCC4,HDGFL3
,,RAD51AP1
,,BRIP1
,AURKA,ARHGAP5
,SCARNA17,LOC105379362
,SMOX,MLLT3
,ATP2C1,CD59
,CEP128,DNTT
,GUSBP3,EPSTI1
,MPDU1,TANC1
,,APOBEC3B
,HIST1H3F,HNRNPLL
,GFI1,FAM30A
,,SCHIP1///IQCJ-SCHIP1
,SLC2A9,CENPU
,,TYMS
,SLC29A1,PCSK5
,HNRNPAB,NUSAP1
,,NDC80
,MIR181B1,MAP3K13
,,ZNF462
,ENPP2,SPC25
,RAB34,FANCI
,PRDX3,NA
,LMNB1,MND1
,FAM159A,CDKN3
,RASSF5,PCLAF
,LRIF1,CENPA
,ATHL1,PRXL2A
,TMCC3,HDGFL3
,,ASPM
,TRAJ41,CTDSPL
,LOC729603,MAP3K13
,,ADGRG6
,YPEL3,PRKAR2B
,CD5,SELENOP
,,KIF11
,SNORA22,TTK
,SLC16A6,BASP1
,ARL4C,C3orf80
,,NA
,HOOK1,TPM1
,FGD3,CCDC34
,ATXN1,CENPF
,,SNHG19
,,CTDSPL
,LINC00324,PKIA
,KCNJ2,MECOM
,ZNF626,DPPA4
,RGS2,MS4A3
,ITPR3,UBE2C
,ZNF641,CD109
,KIAA0355,GCNT2
,WWC3,PRTN3
,TNRC6C,GINS1
,BTN3A2,ST7///ST7-OT3
,GIMAP7,ELANE
,ATM,SLC40A1
,GPR171,RRM2
,MIR29B2,CTSG
,CHMP7,NCAPG
,ENTPD1,CDKN3
,,CCNB2
,BMPR2,H2AC25
,AMN1,FGF14-AS2
,TMA7,HDGFL3
,EML4,CRISPLD1
,ZDHHC18,MYH10
,,PRTFDC1
,REM2,AIG1
,CCDC141,CAVIN2
,RN7SL384P,NFIA
,RCAN3,SH3BP4
,BCL2A1,PRXL2A
,VAMP2,CHRM3
,PLCL1,DDAH1
,FCRL1,KIF15
,RNU6-1054P,CPED1
,ALDOC,PTPRD
,NLRC5,TAFA2
,ZNF652,ANKH
,CCR6,DTL
,RNU4-62P,CYYR1
,GATA3,CYYR1
,BTN3A3,TPD52
,SYNRG,PFKM
,F5,FZD3
,C14orf183,C8orf88
,RNU4-47P,BIRC5
,MX2,SLC2A10
,TTC39B,CDC20
,LRP10,CDK1
,PACS1,CLDN10
,,PAWR
,IL32,DPPA4
,GRAMD1C,CEP15
,DENND2D,HMMR
,GNLY,MYCT1
,,NUDT11
,,TAL1
,,FBN1
,RNU6-807P,HDGFL3
,CD52,FRMD6
,,NFIA
,GNG10,TSPYL5
,PLCG1,PLOD2
,TUBA4A,TMSB15A
,TPST1,SLAIN1
,CARD11,TOP2A
,MIR30E,BEX3
,ST6GAL1,NA
,,BEX1
,SAMD9,DLGAP5
,,DSG2
,CNR2,PBX1
,ALOX5AP,BEND4
,MID2,PLS3
,,TCEAL9
,HORMAD1,TMEM150C
,CD247,SERPINE2
,TBL1X,NFIA
,IGF1R,PBX1
,RASGRF2,TOP2A
,KIAA1324L,BEX5
,PTGES3P1,MYH10
,NEDD9,NDN
,STK38,AREG
,ISG20,CLGN
,ZBTB38,BEX2
,TRAF3IP3,PCDH9
,C12orf42,EREG
,RAB11FIP4,TUSC1
,PRKD2,NAP1L3
,TAP2,ZNF711
,LBH,CDC42BPA
,PTCH1,PLOD2
,ZNF486,
,TAP1,
,MX1,
,CHI3L2,
,,
,TTN,
,FAM134B,
,SNORD116-19,
,PTPRJ,
,RNU2-2P,
,TADA2B,
,RNU6-447P,
,STK17A,
,LOC728323,
,SYNE1,
,ZBTB38,
,RORA,
,NLRP1,
,MORC4,
,SIPA1L1,
,PARP12,
,LRIG1,
,CSGALNACT1,
,CCDC146,
,CD274,
,,
,RNA5SP496,
,TCF7,
,PRDM1,
,ZNF506,
,HLA-DPB1,
,PATL2,
,,
,MIRLET7G,
,KCTD7,
,PLCL2,
,S1PR4,
,SH3BP5,
,GNG2,
,GABBR1,
,RNA5SP242,
,SLFN5,
,NR3C2,
,GBP1,
,RNU6-1199P,
,PIK3IP1,
,TRANK1,
,CD3D,
,KLRC4-KLRK1,
,FCGR3A,
,TGFBR2,
,FBXO32,
,ETS1,
,IRF2,
,CHD7,
,ALPL,
,TMEM2,
,NELL2,
,,
,CYFIP2,
,RNU6-936P,
,TSHZ2,
,NCK2,
,MAST3,
,PIM2,
,IQSEC1,
,IGF2R,
,KIAA0226L,
,TMEM243,
,RAB30,
,GIN1,
,SAMD9L,
,CLEC2D,
,SCARNA4,
,SIT1,
,CREBRF,
,ZFP36L1,
,IL4R,
,GIMAP1-GIMAP5,
,MAPK13,
,SNTB2,
,GBP2,
,,
,IGF1R,
,MIR29C,
,,
,SPOCK2,
,GRAP2,
,CAMK2D,
,SCML1,
,INADL,
,ANKRD44,
,SNORD116-23,
,GABBR1,
,SIRPG,
,PLAG1,
,LINC00266-1,
,SERPINB9P1,
,CR1,
,PECR,
,RNU4-34P,
,BTN3A1,
,S1PR1,
,KLF12,
,,
,HCG27,
,GRK5,
,ZHX2,
,ARNTL,
,IPCEF1,
,SLC30A4,
,EPSTI1,
,LEF1,
,SIDT1,
,BACH2,
,CEP85L,
,LY9,
,PCED1B,
,EPHA4,
,,
,TMOD2,
,SLC37A3,
,KCNA3,
,SAMD3,
,ANK3,
,CAMK4,
,THEMIS,
,TRIB2,
,SLAMF1,
,SP110,
,TLR10,
,TMEM45B,
,CBX7,
,GPR18,
,RNU6-1052P,
,MYBL1,
,IFITM1,
,PYHIN1,
,TNFSF10,
,CXCR5,
,RIC3,
,CEACAM1,
,TAGAP,
,ERP27,
,SNORD116-14,
,RN7SL239P,
,CDKL5,
,ZBP1,
,MGAT4A,
,SNORD116-3,
,KDM7A,
,BTLA,
,HLA-F,
,KCNJ15,
,KIAA1551,
,FAM102A,
,SCML4,
,IFI44L,
,FAM69A,
,PITPNC1,
,IGHV1OR15-1,
,TMEM140,
,PLEKHA1,
,LOC100131541,
,SNORD116-15,
,DDX58,
,TCP11L2,
,IL18RAP,
,CCDC109B,
,SKAP1,
,ARSG,
,SNX25,
,SNORD116-6,
,HCP5,
,ABCD2,
,SP140,
,ECE1,
,FAM65B,
,GIMAP4,
,RASSF3,
,SNORD116-20,
,CD48,
,SNORD116-5,
,CXCR1,
,FCRL3,
,DOCK9,
,AKT3,
,HIVEP2,
,TC2N,
,TMEM154,
,SNORD116-1,
,GDPD3,
,SLAMF6,
,GPR65,
,MME,
,AKTIP,
,CCR7,
,SLC44A2,
,IKZF3,
,LY96,
,GVINP1,
,AIM2,
,SLAIN1,
,ADAM19,
,CD27,
,,
,MAML2,
,GPR15,
,VNN2,
,KIAA1324,
,RASGRP1,
,GPR155,
,NUAK2,
,KIAA0040,
,SNORD116-24,
,VSIG1,
,SYNE2,
,HLA-F,
,FAIM3,
,P2RY10,
